Target,Acquirer,Year
4777,265,2002
7909,47,2002
6361,2311,2002
1395,14,2002
7909,47,2002
6743,8051,2002
7191,7568,2002
6887,8085,2002
4294,8113,2002
8009,96,2002
5058,6368,2002
7195,6524,2002
6667,2471,2002
4374,8397,2002
6871,23,2002
868,1904,2002
8483,251,2002
6361,2311,2002
7309,6460,2002
6844,6843,2002
6897,966,2002
6879,6469,2002
4746,7032,2002
298,1894,2003
7971,7989,2003
4561,5386,2003
5739,8054,2003
4013,4996,2003
6065,5608,2003
7064,8079,2003
4693,8113,2003
6374,6303,2003
1322,8169,2003
7768,8157,2003
7685,8157,2003
7453,3396,2003
2958,297,2003
4375,8193,2003
4155,2615,2003
6882,6872,2003
7572,5864,2003
5644,8429,2003
5900,7371,2003
6456,251,2003
4190,5844,2003
7571,6517,2003
6711,695,2003
7700,966,2003
5092,438,2003
7260,8690,2003
7401,5520,2003
5982,5611,2003
1439,265,2004
6456,251,2004
6523,187,2004
6356,270,2004
3980,1714,2004
8676,401,2004
3577,946,2004
7954,900,2004
7963,2265,2004
4505,6322,2004
4514,6322,2004
542,8085,2004
3451,2093,2004
1584,8113,2004
3729,4135,2004
6709,775,2004
5989,1839,2004
6358,8317,2004
1299,3681,2004
1696,1828,2004
1960,8391,2004
3276,8380,2004
1718,2046,2004
1334,1707,2004
2589,67,2004
958,8464,2004
4362,8469,2004
4905,8506,2004
7662,974,2004
1728,537,2004
6224,7714,2004
5609,966,2004
5786,966,2004
3955,966,2004
4340,6567,2004
2050,1718,2004
5629,386,2005
5907,1714,2005
6248,464,2005
5273,169,2005
4400,514,2005
7705,401,2005
1583,16,2005
2660,2680,2005
6525,2276,2005
8233,8051,2005
2675,2186,2005
7484,8157,2005
4787,233,2005
7316,3580,2005
1641,3696,2005
3624,52,2005
2647,52,2005
8141,1199,2005
7229,9,2005
7104,6906,2005
6421,323,2005
3386,4973,2005
5527,8354,2005
6673,8354,2005
1395,1338,2005
3588,595,2005
5406,621,2005
4134,1417,2005
3265,1645,2005
6381,2259,2005
1529,55,2005
4297,6607,2005
5634,8469,2005
4275,8469,2005
1384,8469,2005
3639,251,2005
2859,251,2005
1988,8514,2005
5637,6362,2005
4929,465,2005
6798,6517,2005
6479,959,2005
7088,660,2005
6901,966,2005
1080,413,2005
8051,72,2005
5478,6503,2005
6410,8654,2005
3968,1387,2005
3775,8684,2005
7670,6147,2005
2783,1291,2005
8607,1168,2005
6834,6310,2005
1510,1117,2005
6386,8145,2005
1184,373,2005
4710,938,2006
900,948,2006
7705,401,2006
6152,7953,2006
5053,6869,2006
4253,6560,2006
6029,2186,2006
1578,1906,2006
8064,4783,2006
221,4590,2006
7541,2180,2006
4212,8104,2006
7519,8131,2006
7105,8157,2006
7099,1771,2006
6972,2644,2006
2967,1164,2006
3226,1161,2006
4490,52,2006
6859,725,2006
7977,9,2006
4077,9,2006
2045,9,2006
8028,280,2006
3573,8352,2006
3960,5741,2006
2786,23,2006
2042,1707,2006
7576,8439,2006
763,802,2006
3600,6574,2006
4808,11,2006
6535,8517,2006
2672,1049,2006
3414,5621,2006
1706,8590,2006
4520,4778,2006
1524,966,2006
4947,801,2006
4570,438,2006
3366,8652,2006
3444,8703,2006
7114,8703,2006
1862,1716,2006
2629,948,2007
5964,814,2007
4999,514,2007
5917,4467,2007
4312,1522,2007
8017,7730,2007
1277,562,2007
4372,938,2007
6683,8051,2007
1593,4783,2007
7459,961,2007
4558,199,2007
1005,199,2007
5450,2254,2007
6180,2254,2007
7989,5977,2007
8561,69,2007
5530,6455,2007
8546,477,2007
4810,8113,2007
5148,8113,2007
1787,8155,2007
4935,1040,2007
3744,3580,2007
817,8205,2007
3359,187,2007
2940,964,2007
7813,923,2007
6194,569,2007
6317,52,2007
4459,725,2007
8057,6465,2007
8413,1199,2007
3993,8314,2007
1179,921,2007
1914,1859,2007
4448,4753,2007
7646,226,2007
4301,3571,2007
5358,1428,2007
6675,4112,2007
3481,3458,2007
8182,133,2007
2135,8469,2007
4689,7633,2007
414,4475,2007
1333,1154,2007
5084,3340,2007
7535,8513,2007
4945,216,2007
3436,537,2007
7466,3134,2007
6881,6502,2007
2992,932,2007
2751,8538,2007
7394,424,2007
2466,8557,2007
785,805,2007
6532,322,2007
2668,1124,2007
1300,1251,2007
6772,253,2007
7554,5493,2007
5857,695,2007
7392,2845,2007
8503,3678,2007
6787,8145,2007
2365,2310,2007
7707,3702,2007
3961,4113,2007
7459,961,2008
4710,57,2008
3563,139,2008
5144,779,2008
7742,5113,2008
6004,2263,2008
6877,6869,2008
1837,1906,2008
7044,883,2008
6480,4218,2008
3985,8149,2008
5011,2068,2008
4182,596,2008
5618,829,2008
4525,6868,2008
4363,8193,2008
4562,8202,2008
2381,277,2008
8332,258,2008
